"MODZCTA","Positive","Total","zcta_cum.perc_pos","date"
10030,164,289,56.75,"20200405"
10031,340,576,59.03,"20200405"
10032,448,757,59.18,"20200405"
10033,391,657,59.51,"20200405"
10034,178,366,48.63,"20200405"
10035,254,515,49.32,"20200405"
10036,160,355,45.07,"20200405"
10037,121,241,50.21,"20200405"
10038,101,219,46.12,"20200405"
10039,155,304,50.99,"20200405"
10040,294,487,60.37,"20200405"
10044,64,149,42.95,"20200405"
10065,171,492,34.76,"20200405"
10069,29,72,40.28,"20200405"
10075,204,452,45.13,"20200405"
10128,281,737,38.13,"20200405"
10280,20,61,32.79,"20200405"
10282,32,61,52.46,"20200405"
10301,278,501,55.49,"20200405"
10302,120,230,52.17,"20200405"
10303,174,353,49.29,"20200405"
10304,419,763,54.91,"20200405"
10305,298,652,45.71,"20200405"
10306,404,884,45.7,"20200405"
10307,109,217,50.23,"20200405"
10308,214,474,45.15,"20200405"
10309,246,522,47.13,"20200405"
10310,161,336,47.92,"20200405"
10312,462,916,50.44,"20200405"
10314,712,1408,50.57,"20200405"
10451,392,701,55.92,"20200405"
10452,584,942,62,"20200405"
10453,619,983,62.97,"20200405"
10454,294,498,59.04,"20200405"
10455,274,495,55.35,"20200405"
10456,619,1054,58.73,"20200405"
10457,533,879,60.64,"20200405"
10458,541,933,57.98,"20200405"
10459,363,618,58.74,"20200405"
10460,397,697,56.96,"20200405"
10461,536,993,53.98,"20200405"
10462,632,1160,54.48,"20200405"
10463,402,909,44.22,"20200405"
10464,35,95,36.84,"20200405"
10465,461,960,48.02,"20200405"
10466,588,1013,58.05,"20200405"
10467,941,1625,57.91,"20200405"
10468,625,939,66.56,"20200405"
10469,795,1304,60.97,"20200405"
10470,121,229,52.84,"20200405"
10471,149,375,39.73,"20200405"
10472,469,765,61.31,"20200405"
10473,518,887,58.4,"20200405"
10474,83,136,61.03,"20200405"
10475,424,705,60.14,"20200405"
11429,322,461,69.85,"20200405"
11004,200,316,63.29,"20200405"
11101,232,470,49.36,"20200405"
11102,186,352,52.84,"20200405"
11103,168,309,54.37,"20200405"
11104,160,277,57.76,"20200405"
11105,166,346,47.98,"20200405"
11106,206,399,51.63,"20200405"
11109,25,73,34.25,"20200405"
11201,259,601,43.09,"20200405"
11203,553,870,63.56,"20200405"
11204,789,1298,60.79,"20200405"
11205,270,462,58.44,"20200405"
11206,477,816,58.46,"20200405"
11207,554,911,60.81,"20200405"
11208,608,923,65.87,"20200405"
11209,348,718,48.47,"20200405"
11210,583,953,61.18,"20200405"
11211,859,1335,64.34,"20200405"
11212,469,758,61.87,"20200405"
11213,554,879,63.03,"20200405"
11214,403,796,50.63,"20200405"
11215,239,559,42.75,"20200405"
11216,240,445,53.93,"20200405"
11217,196,369,53.12,"20200405"
11218,574,975,58.87,"20200405"
11219,1136,1644,69.1,"20200405"
11220,455,748,60.83,"20200405"
11221,384,644,59.63,"20200405"
11222,148,333,44.44,"20200405"
11223,529,973,54.37,"20200405"
11224,235,446,52.69,"20200405"
11225,394,608,64.8,"20200405"
11226,553,887,62.34,"20200405"
11228,179,341,52.49,"20200405"
11229,470,890,52.81,"20200405"
